n279571,11,4,11,12,8,6,1,8,8,1,6,14,9,4,7,9,9,6,4,9,3,0,3,7,0,1,1,2,9,3,8,10,15,4,3,4,4,1,0,2,3,1,4,4,3,7,11,5,4,5,7,11,8,2,0,6,2,5,6,11,15,7,5,13,8,6,5,4,6,3,0,9,6,2,2,3,11,5,6,9,3,3,3,9,3,2,0,1,1,0,0,3,1,8,3,8,1,0,0,0,1,0,0,1,1,0,0,0,0,1,2,3,6,4,2,6,4,6,1,9,7,2,5,12,5,5,12,12,7,6,9,5,7,2,1,7,3,1,1,4,3,3,7,6,5,3,4,3,4,1,1,1,0,0,0,0,4,3,1,6,3,4,2,6,2,0,0,1,6,0,2,2,3,2,1,4,5,1,4,5,4,8,1,6,13,4,0,4,5,4,4,9,11,7,4,8,7,2,2,6,9,3,3,5,4,4,4,16,6,6,2,10,8,3,0,11,0,1,0,1,4,6,14,10,8,9,4,9,8,6,0,10,5,2,4,4,9,9,7,10,15,7,7,6,8,6,0,13,8,13,4,8,10,11,12,30
n338245,8,8,11,9,7,10,1,3,14,9,13,7,4,8,7,4,6,5,13,7,11,14,5,17,1,2,3,1,2,6,7,5,13,17,19,8,11,15,5,25,25,8,21,6,7,6,9,6,7,0,1,2,9,4,5,7,7,8,8,5,0,5,6,6,8,6,12,4,7,14,3,6,21,22,25,7,2,8,6,9,11,15,20,11,21,21,8,16,3,6,8,7,6,19,22,15,1,1,6,0,2,5,1,2,8,0,6,3,1,4,3,3,4,6,5,0,13,25,1,21,20,13,21,8,4,19,14,12,10,5,18,7,15,14,3,6,18,20,21,12,3,8,12,4,2,5,21,2,11,17,9,9,1,1,4,3,3,18,19,11,16,10,26,12,7,10,2,13,14,16,18,15,2,13,9,9,3,5,3,1,6,11,0,11,9,8,14,5,5,7,6,2,10,1,2,3,2,9,0,5,4,5,1,2,1,1,3,0,11,5,21,5,14,14,2,20,3,1,2,0,4,17,14,18,10,10,20,7,10,16,1,11,17,8,18,9,2,5,15,2,2,5,3,2,14,10,0,14,11,9,9,6,3,7,10,5
n6159,10,4,2,5,2,4,0,2,1,0,1,3,3,4,1,7,4,1,1,2,2,4,1,1,0,0,0,1,3,2,1,3,1,0,3,0,3,1,1,2,3,1,2,1,3,3,1,2,3,1,3,2,1,3,1,4,2,0,3,2,2,2,2,9,4,2,1,2,2,0,0,2,1,2,2,3,1,3,0,6,2,2,2,4,5,2,0,0,1,1,0,1,1,0,0,3,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,3,1,1,5,0,0,0,3,2,0,0,0,2,3,3,7,4,0,2,4,1,1,1,2,1,2,0,3,1,2,2,1,1,0,4,2,2,0,1,0,1,1,1,0,0,1,0,4,2,0,1,3,1,1,1,2,1,1,0,2,2,1,1,2,2,5,2,1,1,2,1,2,1,0,1,0,0,1,2,2,3,2,0,4,3,3,0,3,1,3,4,1,4,0,4,1,2,1,1,2,1,1,1,3,1,0,2,1,6,0,1,5,6,4,2,2,2,1,0,1,1,2,2,2,4,0,0,0,1,2,3,1,4,1,2,3,9,4,3,2,3,4,11,14
n338249,72,23,26,46,29,8,1,18,24,14,12,11,42,11,28,39,36,16,11,23,9,6,0,11,1,0,0,1,14,13,17,20,26,7,13,14,15,11,0,14,12,13,10,8,14,5,16,15,41,15,20,39,10,13,0,8,24,18,13,19,26,23,20,40,24,13,15,25,33,5,1,15,13,12,11,10,17,5,24,24,14,13,10,21,18,11,1,20,2,0,0,0,8,10,12,32,1,1,2,1,0,0,0,1,0,0,0,1,1,1,1,0,12,7,12,17,18,14,1,26,15,9,13,16,17,30,5,70,31,7,11,17,7,2,0,15,10,4,8,13,16,4,4,14,11,9,4,14,14,11,0,10,1,0,0,0,15,5,10,13,11,6,10,6,12,7,0,10,9,4,6,8,10,2,4,11,9,12,10,14,8,7,3,4,8,4,8,15,10,6,12,20,40,13,9,32,17,11,0,16,13,10,12,16,40,11,18,32,15,16,21,12,17,22,1,21,1,1,1,2,11,31,14,58,28,10,10,17,11,17,1,18,12,12,11,10,20,14,14,22,32,10,9,31,28,27,1,76,18,16,11,20,29,73,28,54
n341208,52,8,6,19,9,5,0,7,16,4,11,6,13,2,17,5,9,6,6,10,10,15,1,2,0,3,0,1,6,5,12,9,15,8,10,9,8,6,2,12,7,5,6,2,4,4,7,4,9,6,6,11,4,10,0,6,10,11,3,7,11,7,8,13,10,8,14,6,6,9,1,11,13,12,3,4,4,13,6,15,13,13,12,14,18,8,1,6,0,1,2,1,2,9,13,6,1,0,0,0,2,1,0,1,1,1,2,0,0,1,3,0,4,10,4,4,8,13,1,12,13,12,9,13,3,9,7,9,15,2,12,5,7,7,1,6,8,8,3,7,5,1,4,7,9,3,6,6,8,6,0,7,1,0,1,0,6,10,12,6,4,8,6,4,5,3,0,7,6,4,5,0,2,1,0,4,1,2,1,5,4,4,1,8,7,5,4,1,5,2,2,8,9,3,5,7,9,7,2,8,5,4,3,2,10,4,4,12,7,5,8,8,16,4,2,15,0,0,1,2,8,10,10,7,14,5,10,4,9,10,0,14,8,5,2,5,3,11,7,9,10,8,3,10,12,10,1,9,3,5,4,9,12,14,4,17
n271659,3,1,6,3,6,1,1,0,2,8,9,6,1,4,5,2,5,2,4,5,3,6,2,1,1,1,5,2,1,4,4,1,3,1,5,4,4,7,6,7,8,12,7,3,1,5,4,5,0,3,3,4,4,3,1,1,5,2,8,5,2,2,3,4,7,4,10,3,5,6,3,5,7,7,6,3,4,2,8,2,8,7,6,2,10,8,6,6,3,9,9,0,2,6,5,3,2,2,3,2,7,8,8,2,9,10,8,4,1,1,1,0,2,0,3,3,4,6,6,7,3,8,6,4,2,5,4,2,1,1,6,5,4,4,3,3,4,9,10,3,4,2,2,4,8,7,11,5,7,10,8,2,5,10,13,1,3,9,7,5,5,7,15,3,15,6,13,9,9,12,11,3,3,4,5,2,1,1,2,2,1,6,1,5,2,6,6,2,0,2,4,5,2,2,3,1,1,1,2,2,0,0,5,3,1,1,5,3,3,3,2,4,3,6,5,7,0,5,4,0,2,4,5,4,3,4,3,3,5,6,2,6,4,8,9,4,1,3,6,4,5,2,0,1,3,6,1,2,3,4,5,3,4,3,4,1
n387718,10,2,6,6,2,2,2,2,6,6,8,6,3,2,8,3,3,0,4,2,5,3,0,3,0,0,1,1,1,1,3,3,9,5,1,2,3,1,1,6,4,3,0,3,3,2,2,7,2,1,0,3,3,4,2,0,4,4,5,4,3,1,6,2,4,2,8,3,3,4,0,3,7,2,2,5,0,3,3,3,4,6,2,4,4,2,0,3,0,0,1,1,2,0,4,2,0,0,0,0,0,2,0,1,0,1,0,2,1,1,3,2,3,0,0,2,5,0,0,1,3,5,9,4,1,4,2,5,4,3,9,3,4,4,0,2,4,3,0,0,3,1,3,3,5,0,3,2,5,4,2,0,0,1,1,1,2,3,10,4,6,2,2,2,4,3,0,6,0,0,0,2,1,4,6,3,3,1,1,1,5,0,2,4,4,0,7,5,2,4,4,9,6,1,3,4,0,1,0,1,0,0,0,3,0,3,3,3,5,4,7,1,2,1,0,2,0,2,0,4,0,2,4,3,4,3,4,6,3,5,2,6,8,8,2,7,1,4,5,7,6,0,2,3,4,1,2,4,6,7,4,4,5,2,9,10
n370571,21,6,8,18,4,4,0,7,5,7,3,8,7,6,11,11,4,5,10,8,5,6,0,6,1,0,0,0,2,4,8,8,12,7,9,4,3,7,0,6,6,3,5,5,6,5,9,8,5,3,6,10,4,5,1,4,8,7,8,5,5,4,4,21,8,4,7,3,10,6,0,6,12,3,9,6,10,2,7,5,9,7,8,6,9,3,2,5,0,1,2,0,6,8,5,7,1,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,7,0,3,6,6,9,0,5,10,7,6,5,6,3,6,10,16,3,6,6,6,5,0,6,12,1,5,6,2,3,6,6,3,2,8,5,10,3,0,7,0,0,0,0,4,3,8,4,7,6,6,4,4,5,0,5,5,6,4,4,2,2,6,5,3,3,4,3,3,4,0,4,7,5,5,5,6,3,4,6,8,2,2,9,7,2,1,3,3,5,2,8,5,3,4,12,6,8,4,5,6,7,1,8,0,0,1,1,4,5,7,6,11,4,9,9,11,7,0,7,11,5,8,6,4,4,7,6,6,7,5,5,10,4,1,9,8,6,11,6,6,14,17,36
n275272,45,23,28,31,17,7,5,23,26,10,20,18,22,13,20,22,17,28,19,17,16,6,2,12,6,1,5,8,8,14,20,21,31,15,15,15,17,8,2,24,32,13,19,15,11,10,18,21,27,15,12,26,14,10,1,17,18,16,17,27,21,15,14,26,19,9,12,10,25,11,8,14,13,17,18,22,17,7,18,21,9,14,13,14,11,10,1,13,3,0,1,1,16,13,16,31,4,4,2,5,3,0,0,1,1,0,6,2,5,3,3,7,19,10,13,19,26,12,6,13,13,14,20,24,16,30,20,35,30,11,21,17,16,8,4,14,20,8,22,9,19,9,18,9,15,4,14,13,8,4,0,15,3,1,1,4,23,12,15,24,25,15,17,21,11,5,4,18,24,10,19,16,8,8,16,11,11,11,10,21,6,13,2,14,12,15,14,34,15,13,19,21,33,9,13,19,23,10,3,12,17,16,19,11,22,13,22,24,9,12,24,19,15,15,2,36,3,2,2,5,14,18,20,25,19,8,25,14,15,14,3,31,20,15,25,10,29,14,38,29,17,12,28,15,18,33,3,34,23,18,19,25,20,30,32,47
n379436,24,21,15,21,22,9,4,14,30,18,12,13,16,14,13,16,13,11,27,15,16,19,7,13,8,6,11,7,3,12,18,16,29,21,37,12,21,38,10,19,49,30,30,18,4,10,13,9,12,6,3,7,21,13,3,7,13,13,22,12,10,9,11,20,30,8,15,14,16,20,6,18,35,35,48,7,7,13,24,12,20,22,42,8,33,27,22,31,16,17,18,4,11,19,30,17,8,7,20,1,5,12,17,11,9,23,19,2,1,8,6,3,9,6,5,8,19,32,8,15,17,14,29,26,8,17,14,17,13,14,33,14,22,16,21,9,31,29,58,13,3,8,14,11,23,18,37,7,30,36,11,16,10,17,19,4,5,21,27,9,19,29,51,12,40,30,11,20,31,19,27,18,4,7,24,11,5,6,5,4,13,13,2,19,17,12,22,11,6,7,10,13,14,6,10,10,6,10,0,8,3,6,9,3,2,9,9,11,11,9,19,26,13,31,15,17,2,5,5,3,9,22,11,14,18,11,23,11,19,13,12,12,22,29,19,8,11,22,19,13,14,6,8,12,12,18,2,15,16,17,5,16,16,15,19,21
